id,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
1,1,0,0,0,16,1
2,3,0,0,2,19,0
3,4,5,63.99,1,14,0
4,1,0,0,7,15,0
5,2,2,52.49,2,19,0
6,3,1,54.49,6,11,0
7,3,1,59.99,6,4,0
8,3,5,77.99,7,15,1
9,1,1,74.49,1,25,0
10,3,2,78.49,2,26,0
11,3,0,0,2,5,1
12,1,3,61.49,5,18,1
13,2,3,38.99,4,18,0
14,2,10,63.99,0,21,1
15,3,1,202.47,4,13,0
16,1,0,0,7,15,1
17,5,2,103.98,6,12,0
18,2,1,68.49,3,11,1
19,1,1,60.49,3,17,0
20,3,0,0,4,15,0
21,2,0,0,4,9,1
22,3,7,41.99,5,16,0
23,3,2,101.98,0,17,0
24,3,0,0,0,6,0
25,1,0,0,0,13,0
26,3,0,0,1,11,0
27,1,0,0,3,21,1
28,1,3,157.47,6,17,1
29,1,0,0,5,14,0
30,3,0,0,4,16,0
31,1,5,63.99,5,4,0
32,1,2,178.47,0,16,0
33,2,0,0,6,18,0
34,1,0,0,1,22,1
35,3,13,57.99,3,23,0
36,4,0,0,2,13,1
37,1,0,0,3,18,1
38,1,6,54.99,1,13,1
39,3,0,0,5,4,0
40,1,3,189.96,2,12,0
41,3,0,0,7,15,0
42,1,2,75.99,3,4,0
43,4,1,56.49,5,20,0
44,1,1,46.99,1,20,0
45,2,0,0,0,18,0
46,3,0,0,6,5,1
47,2,2,134.98,7,13,0
48,1,3,73.49,2,21,0
49,1,1,99.98,1,2,0
50,3,0,0,4,14,0
51,1,8,55.99,7,17,1
52,3,7,58.99,4,19,0
53,1,0,0,1,22,0
54,3,12,170.97,2,14,1
55,1,0,0,7,9,1
56,1,1,56.99,0,3,0
57,3,7,69.99,0,15,0
58,1,0,0,5,14,1
59,2,0,0,0,21,1
60,2,0,0,0,3,0
61,3,0,0,2,15,0
62,1,2,68.99,6,18,0
63,1,1,55.49,5,19,0
64,1,1,127.98,6,11,1
65,2,2,161.97,2,18,0
